Date,Open,High,Low,Close,Volume,Adj Close
7/10/2008,11148.01,11351.24,11006.01,11229.02,5840430000,11229.02
7/11/2008,11226.17,11292.04,10908.64,11100.54,6742200000,11100.54
7/14/2008,11103.64,11299.7,10972.63,11055.19,5434860000,11055.19
7/15/2008,11050.8,11201.67,10731.96,10962.54,7363640000,10962.54
7/16/2008,10961.89,11308.41,10831.61,11239.28,6738630400,11239.28
7/17/2008,11238.39,11538.5,11118.46,11446.66,7365209600,11446.66
7/18/2008,11436.56,11599.57,11290.5,11496.57,5653280000,11496.57
7/21/2008,11495.02,11663.4,11339.02,11467.34,4630640000,11467.34
7/22/2008,11457.9,11692.79,11273.32,11602.5,6180230000,11602.5
7/23/2008,11603.39,11820.21,11410.02,11632.38,6705830000,11632.38
7/24/2008,11630.34,11714.21,11288.79,11349.28,6127980000,11349.28
7/25/2008,11341.14,11540.78,11252.47,11370.69,4672560000,11370.69
7/28/2008,11369.47,11439.25,11094.76,11131.08,4282960000,11131.08
7/29/2008,11133.44,11444.05,11086.13,11397.56,5414240000,11397.56
7/30/2008,11397.56,11681.47,11328.68,11583.69,5631330000,11583.69
7/31/2008,11577.99,11631.16,11317.69,11378.02,5346050000,11378.02
8/1/2008,11379.89,11512.61,11205.41,11326.32,4684870000,11326.32
8/4/2008,11326.32,11449.67,11144.59,11284.15,4562280000,11284.15
8/5/2008,11286.02,11652.24,11286.02,11615.77,1219310000,11615.77
8/6/2008,11603.64,11745.71,11454.64,11656.07,4873420000,11656.07
8/7/2008,11655.42,11680.5,11355.63,11431.43,5319380000,11431.43
8/8/2008,11432.09,11808.49,11344.23,11734.32,4966810000,11734.32
8/11/2008,11729.67,11933.55,11580.19,11782.35,5067310000,11782.35
8/12/2008,11781.7,11830.39,11541.43,11642.47,4711290000,11642.47
8/13/2008,11632.81,11689.05,11377.37,11532.96,4787600000,11532.96
8/14/2008,11532.07,11744.33,11399.84,11615.93,4064000000,11615.93
8/15/2008,11611.21,11776.41,11540.05,11659.9,4041820000,11659.9
8/18/2008,11659.65,11744.49,11410.18,11479.39,3829290000,11479.39
8/19/2008,11478.09,11501.45,11260.53,11348.55,4159760000,11348.55
8/20/2008,11345.94,11511.06,11240.18,11417.43,4555030000,11417.43
8/21/2008,11415.23,11501.29,11263.63,11430.21,4032590000,11430.21
8/22/2008,11426.79,11684,11426.79,11628.06,3741070000,11628.06
8/25/2008,11626.19,11626.19,11336.82,11386.25,3420600000,11386.25
8/26/2008,11383.56,11483.62,11284.47,11412.87,3587570000,11412.87
8/27/2008,11412.46,11575.14,11349.69,11502.51,3499610000,11502.51
8/28/2008,11499.87,11756.46,11493.72,11715.18,3854280000,11715.18
8/29/2008,11713.23,11730.49,11508.78,11543.55,3288120000,11543.55
9/2/2008,11545.63,11831.29,11444.79,11516.92,4783560000,11516.92
9/3/2008,11506.01,11629.69,11328.84,11532.88,5056980000,11532.88
9/4/2008,11532.48,11532.48,11130.26,11188.23,5212500000,11188.23
9/5/2008,11185.63,11301.73,10998.77,11220.96,5017080000,11220.96
9/8/2008,11224.87,11656.64,11224.87,11510.74,7351340000,11510.74
9/9/2008,11514.73,11623.5,11209.81,11230.73,7380630400,11230.73
9/10/2008,11233.91,11453.5,11135.64,11268.92,6543440000,11268.92
9/11/2008,11264.44,11461.15,11018.72,11433.71,6869249600,11433.71
9/12/2008,11429.32,11532.72,11191.08,11421.99,6273260000,11421.99
9/15/2008,11416.37,11416.37,10849.85,10917.51,8279510400,10917.51
9/16/2008,10905.62,11193.12,10604.7,11059.02,9459830400,11059.02
9/17/2008,11056.58,11068.87,10521.81,10609.66,9431870400,10609.66
9/18/2008,10609.01,11149.07,10403.75,11019.69,10082689600,11019.69
9/19/2008,11027.51,11415.48,11027.51,11388.44,9387169600,11388.44
9/22/2008,11394.42,11450.81,10956.43,11015.69,5368130000,11015.69
9/23/2008,11015.69,11214.65,10763.77,10854.17,5185730000,10854.17
9/24/2008,10850.02,11041.02,10696.38,10825.17,4820360000,10825.17
9/25/2008,10827.17,11206.05,10799.77,11022.06,5877640000,11022.06
9/26/2008,11019.04,11218.48,10781.37,11143.13,5383610000,11143.13
9/29/2008,11139.62,11139.62,10266.76,10365.45,7305060000,10365.45
9/30/2008,10371.58,10922.03,10371.58,10850.66,6065000000,10850.66
10/1/2008,10847.4,11022.06,10495.99,10831.07,5782130000,10831.07
10/2/2008,10825.54,10843.1,10368.08,10482.85,6285640000,10482.85
10/3/2008,10483.96,10844.69,10261.75,10325.38,6716120000,10325.38
10/6/2008,10322.52,10322.52,9503.1,9955.5,7956020000,9955.5
10/7/2008,9955.42,10205.04,9391.67,9447.11,7069209600,9447.11
10/8/2008,9437.23,9778.04,9042.97,9258.1,8716329600,9258.1
10/9/2008,9261.69,9522.77,8523.27,8579.19,8285670400,8579.19
10/10/2008,8568.67,8989.13,7773.71,8451.19,11456230400,8451.19
10/13/2008,8462.42,9501.91,8462.42,9387.61,7263369600,9387.61
10/14/2008,9388.97,9924.28,9050.06,9310.99,8161990400,9310.99
10/15/2008,9301.91,9301.91,8516.5,8577.91,6542330000,8577.91
10/16/2008,8577.04,9073.64,8176.17,8979.26,7984500000,8979.26
10/17/2008,8975.35,9304.38,8640.83,8852.22,6581780000,8852.22
10/20/2008,8852.3,9305.89,8799.49,9265.43,5175640000,9265.43
10/21/2008,9179.11,9293.07,9017.3,9045.21,5121830000,9045.21
10/22/2008,9027.84,9027.84,8324.07,8519.21,6147980000,8519.21
10/23/2008,8519.77,8864.48,8200.06,8691.25,7189900000,8691.25
10/24/2008,8683.21,8683.21,8088.63,8378.95,6550050000,8378.95
10/27/2008,8375.92,8639.64,8085.37,8175.77,5558050000,8175.77
10/28/2008,8178.72,9112.51,8153.79,9065.12,7096950400,9065.12
10/29/2008,9062.33,9405.05,8800.61,8990.96,7077800000,8990.96
10/30/2008,9004.66,9380.36,8916.81,9180.69,6175830000,9180.69
10/31/2008,9179.09,9498.48,9014.78,9325.01,6394350000,9325.01
11/3/2008,9326.04,9488.92,9175.03,9319.83,4492280000,9319.83
11/4/2008,9323.89,9711.46,9323.89,9625.28,5531290000,9625.28
11/5/2008,9616.6,9628.15,9086.06,9139.27,5426640000,9139.27
11/6/2008,9134.01,9216.37,8607.14,8695.79,6102230000,8695.79
11/7/2008,8696.03,9032.54,8661.22,8943.81,4931640000,8943.81
11/10/2008,8946.6,9212.94,8735.61,8870.54,4572000000,8870.54
11/11/2008,8864.32,8892.2,8499.62,8693.96,4998340000,8693.96
11/12/2008,8684.52,8684.52,8235.66,8282.66,5764180000,8282.66
11/13/2008,8281.14,8898.41,7947.74,8835.25,7849120000,8835.25
11/14/2008,8822.19,8980.93,8421.08,8497.31,5881030000,8497.31
11/17/2008,8494.84,8596.31,8197.12,8273.58,4927490000,8273.58
11/18/2008,8273.34,8540.08,8075.81,8424.75,6679470000,8424.75
11/19/2008,8420.69,8534.34,7967.33,7997.28,6548600000,7997.28
11/20/2008,7995.53,8224.35,7464.51,7552.29,9093740000,7552.29
11/21/2008,7552.37,8121.45,7392.27,8046.42,9495900000,8046.42
11/24/2008,8048.09,8624.27,8023.32,8443.39,7879440000,8443.39
11/25/2008,8445.14,8682.09,8244.43,8479.47,6952700000,8479.47
11/26/2008,8464.49,8760.46,8250.8,8726.61,5793260000,8726.61
11/28/2008,8690.24,8840.33,8687.05,8829.04,2740860000,8829.04
12/1/2008,8826.89,8826.89,8123.04,8149.09,6052010000,8149.09
12/2/2008,8153.75,8490.62,8072.47,8419.09,6170100000,8419.09
12/3/2008,8409.14,8654.77,8170.19,8591.69,6221880000,8591.69
12/4/2008,8587.07,8705.98,8222.84,8376.24,5860390000,8376.24
12/5/2008,8376.08,8722.47,8084.25,8635.42,6165370000,8635.42
12/8/2008,8637.65,9151.61,8637.65,8934.18,6553600000,8934.18
12/9/2008,8934.1,8978.14,8591.69,8691.33,5693110000,8691.33
12/10/2008,8693,8942.46,8589.86,8761.42,5942130000,8761.42
12/11/2008,8750.13,8861.86,8480.18,8565.09,5513840000,8565.09
12/12/2008,8563.1,8705.43,8272.22,8629.68,5959590000,8629.68
12/15/2008,8628.81,8738.4,8431.04,8564.53,4982390000,8564.53
12/16/2008,8565.65,8985.63,8534.03,8924.14,6009780000,8924.14
12/17/2008,8921.91,9001.96,8701.13,8824.34,5907380000,8824.34
12/18/2008,8823.94,8946.36,8516.02,8604.99,5675000000,8604.99
12/19/2008,8606.5,8823.78,8499.06,8579.11,6705310000,8579.11
12/22/2008,8573.37,8672.06,8351.79,8519.69,4869850000,8519.69
12/23/2008,8518.65,8647.6,8376.8,8419.49,4051970000,8419.49
12/24/2008,8428.17,8498.26,8417.02,8468.48,1546550000,8468.48
12/26/2008,8468.71,8581.58,8434.94,8515.55,1880050000,8515.55
12/29/2008,8515.87,8575.6,8349.24,8483.93,3323430000,8483.93
12/30/2008,8487.51,8700.89,8463.7,8668.39,3627800000,8668.39
12/31/2008,8666.48,8862.65,8634.06,8776.39,4172940000,8776.39
